method,deriv_order,noise_level,total_successful,total_failures,failure_rate,affected_odes
AAA-Python-Adaptive-Diff2,0,1.0e-8,0,30,1.0,"lotka_volterra, van_der_pol, lorenz"
AAA-Python-Adaptive-Diff2,0,1.0e-6,0,30,1.0,"lotka_volterra, van_der_pol, lorenz"
AAA-Python-Adaptive-Diff2,0,0.0001,0,30,1.0,"lotka_volterra, van_der_pol, lorenz"
AAA-Python-Adaptive-Diff2,0,0.001,0,30,1.0,"lotka_volterra, van_der_pol, lorenz"
AAA-Python-Adaptive-Diff2,0,0.01,0,30,1.0,"lotka_volterra, van_der_pol, lorenz"
AAA-Python-Adaptive-Diff2,0,0.02,0,30,1.0,"lotka_volterra, van_der_pol, lorenz"
AAA-Python-Adaptive-Diff2,1,1.0e-8,0,30,1.0,"lotka_volterra, van_der_pol, lorenz"
AAA-Python-Adaptive-Diff2,1,1.0e-6,0,30,1.0,"lotka_volterra, van_der_pol, lorenz"
AAA-Python-Adaptive-Diff2,1,0.0001,0,30,1.0,"lotka_volterra, van_der_pol, lorenz"
AAA-Python-Adaptive-Diff2,1,0.001,0,30,1.0,"lotka_volterra, van_der_pol, lorenz"
AAA-Python-Adaptive-Diff2,1,0.01,0,30,1.0,"lotka_volterra, van_der_pol, lorenz"
AAA-Python-Adaptive-Diff2,1,0.02,0,30,1.0,"lotka_volterra, van_der_pol, lorenz"
AAA-Python-Adaptive-Diff2,2,1.0e-8,0,30,1.0,"lotka_volterra, van_der_pol, lorenz"
AAA-Python-Adaptive-Diff2,2,1.0e-6,0,30,1.0,"lotka_volterra, van_der_pol, lorenz"
AAA-Python-Adaptive-Diff2,2,0.0001,0,30,1.0,"lotka_volterra, van_der_pol, lorenz"
AAA-Python-Adaptive-Diff2,2,0.001,0,30,1.0,"lotka_volterra, van_der_pol, lorenz"
AAA-Python-Adaptive-Diff2,2,0.01,0,30,1.0,"lotka_volterra, van_der_pol, lorenz"
AAA-Python-Adaptive-Diff2,2,0.02,0,30,1.0,"lotka_volterra, van_der_pol, lorenz"
AAA-Python-Adaptive-Diff2,3,1.0e-8,0,30,1.0,"lotka_volterra, van_der_pol, lorenz"
AAA-Python-Adaptive-Diff2,3,1.0e-6,0,30,1.0,"lotka_volterra, van_der_pol, lorenz"
AAA-Python-Adaptive-Diff2,3,0.0001,0,30,1.0,"lotka_volterra, van_der_pol, lorenz"
AAA-Python-Adaptive-Diff2,3,0.001,0,30,1.0,"lotka_volterra, van_der_pol, lorenz"
AAA-Python-Adaptive-Diff2,3,0.01,0,30,1.0,"lotka_volterra, van_der_pol, lorenz"
AAA-Python-Adaptive-Diff2,3,0.02,0,30,1.0,"lotka_volterra, van_der_pol, lorenz"
AAA-Python-Adaptive-Diff2,4,1.0e-8,0,30,1.0,"lotka_volterra, van_der_pol, lorenz"
AAA-Python-Adaptive-Diff2,4,1.0e-6,0,30,1.0,"lotka_volterra, van_der_pol, lorenz"
AAA-Python-Adaptive-Diff2,4,0.0001,0,30,1.0,"lotka_volterra, van_der_pol, lorenz"
AAA-Python-Adaptive-Diff2,4,0.001,0,30,1.0,"lotka_volterra, van_der_pol, lorenz"
AAA-Python-Adaptive-Diff2,4,0.01,0,30,1.0,"lotka_volterra, van_der_pol, lorenz"
AAA-Python-Adaptive-Diff2,4,0.02,0,30,1.0,"lotka_volterra, van_der_pol, lorenz"
AAA-Python-Adaptive-Diff2,5,1.0e-8,0,30,1.0,"lotka_volterra, van_der_pol, lorenz"
AAA-Python-Adaptive-Diff2,5,1.0e-6,0,30,1.0,"lotka_volterra, van_der_pol, lorenz"
AAA-Python-Adaptive-Diff2,5,0.0001,0,30,1.0,"lotka_volterra, van_der_pol, lorenz"
AAA-Python-Adaptive-Diff2,5,0.001,0,30,1.0,"lotka_volterra, van_der_pol, lorenz"
AAA-Python-Adaptive-Diff2,5,0.01,0,30,1.0,"lotka_volterra, van_der_pol, lorenz"
AAA-Python-Adaptive-Diff2,5,0.02,0,30,1.0,"lotka_volterra, van_der_pol, lorenz"
AAA-Python-Adaptive-Diff2,6,1.0e-8,0,30,1.0,"lotka_volterra, van_der_pol, lorenz"
AAA-Python-Adaptive-Diff2,6,1.0e-6,0,30,1.0,"lotka_volterra, van_der_pol, lorenz"
AAA-Python-Adaptive-Diff2,6,0.0001,0,30,1.0,"lotka_volterra, van_der_pol, lorenz"
AAA-Python-Adaptive-Diff2,6,0.001,0,30,1.0,"lotka_volterra, van_der_pol, lorenz"
AAA-Python-Adaptive-Diff2,6,0.01,0,30,1.0,"lotka_volterra, van_der_pol, lorenz"
AAA-Python-Adaptive-Diff2,6,0.02,0,30,1.0,"lotka_volterra, van_der_pol, lorenz"
AAA-Python-Adaptive-Diff2,7,1.0e-8,0,30,1.0,"lotka_volterra, van_der_pol, lorenz"
AAA-Python-Adaptive-Diff2,7,1.0e-6,0,30,1.0,"lotka_volterra, van_der_pol, lorenz"
AAA-Python-Adaptive-Diff2,7,0.0001,0,30,1.0,"lotka_volterra, van_der_pol, lorenz"
AAA-Python-Adaptive-Diff2,7,0.001,0,30,1.0,"lotka_volterra, van_der_pol, lorenz"
AAA-Python-Adaptive-Diff2,7,0.01,0,30,1.0,"lotka_volterra, van_der_pol, lorenz"
AAA-Python-Adaptive-Diff2,7,0.02,0,30,1.0,"lotka_volterra, van_der_pol, lorenz"
AAA-Python-Adaptive-Wavelet,0,1.0e-8,0,30,1.0,"lotka_volterra, van_der_pol, lorenz"
AAA-Python-Adaptive-Wavelet,0,1.0e-6,0,30,1.0,"lotka_volterra, van_der_pol, lorenz"
AAA-Python-Adaptive-Wavelet,0,0.0001,0,30,1.0,"lotka_volterra, van_der_pol, lorenz"
AAA-Python-Adaptive-Wavelet,0,0.001,0,30,1.0,"lotka_volterra, van_der_pol, lorenz"
AAA-Python-Adaptive-Wavelet,0,0.01,0,30,1.0,"lotka_volterra, van_der_pol, lorenz"
AAA-Python-Adaptive-Wavelet,0,0.02,0,30,1.0,"lotka_volterra, van_der_pol, lorenz"
AAA-Python-Adaptive-Wavelet,1,1.0e-8,0,30,1.0,"lotka_volterra, van_der_pol, lorenz"
AAA-Python-Adaptive-Wavelet,1,1.0e-6,0,30,1.0,"lotka_volterra, van_der_pol, lorenz"
AAA-Python-Adaptive-Wavelet,1,0.0001,0,30,1.0,"lotka_volterra, van_der_pol, lorenz"
AAA-Python-Adaptive-Wavelet,1,0.001,0,30,1.0,"lotka_volterra, van_der_pol, lorenz"
AAA-Python-Adaptive-Wavelet,1,0.01,0,30,1.0,"lotka_volterra, van_der_pol, lorenz"
AAA-Python-Adaptive-Wavelet,1,0.02,0,30,1.0,"lotka_volterra, van_der_pol, lorenz"
AAA-Python-Adaptive-Wavelet,2,1.0e-8,0,30,1.0,"lotka_volterra, van_der_pol, lorenz"
AAA-Python-Adaptive-Wavelet,2,1.0e-6,0,30,1.0,"lotka_volterra, van_der_pol, lorenz"
AAA-Python-Adaptive-Wavelet,2,0.0001,0,30,1.0,"lotka_volterra, van_der_pol, lorenz"
AAA-Python-Adaptive-Wavelet,2,0.001,0,30,1.0,"lotka_volterra, van_der_pol, lorenz"
AAA-Python-Adaptive-Wavelet,2,0.01,0,30,1.0,"lotka_volterra, van_der_pol, lorenz"
AAA-Python-Adaptive-Wavelet,2,0.02,0,30,1.0,"lotka_volterra, van_der_pol, lorenz"
AAA-Python-Adaptive-Wavelet,3,1.0e-8,0,30,1.0,"lotka_volterra, van_der_pol, lorenz"
AAA-Python-Adaptive-Wavelet,3,1.0e-6,0,30,1.0,"lotka_volterra, van_der_pol, lorenz"
AAA-Python-Adaptive-Wavelet,3,0.0001,0,30,1.0,"lotka_volterra, van_der_pol, lorenz"
AAA-Python-Adaptive-Wavelet,3,0.001,0,30,1.0,"lotka_volterra, van_der_pol, lorenz"
